Grouping Function,Evaluation Function,num_users,num_groups,Pearson Correlation,Convergence Accuracy (final distance)
epsilon_greedy,l2_norm,100,5,0.3575429804496552,3.889776914149075
interleaved,dot_product,10,2,0.8996887652417862,4.625208744427332
interleaved,dot_product,10,3,0.8555589369905023,5.387596039439667
interleaved,dot_product,10,4,0.8319738085830406,5.59728587864557
interleaved,dot_product,10,5,0.8236857164697396,6.0365150187889265
interleaved,dot_product,25,2,0.8346138021943332,5.263295995887083
interleaved,dot_product,25,3,0.843151767608677,5.17454237025052
interleaved,dot_product,25,4,0.8200469906251975,5.6898008297775275
interleaved,dot_product,25,5,0.8001115299383847,5.684412109652802
interleaved,dot_product,50,2,0.6231203015155231,4.928052031594451
interleaved,dot_product,50,3,0.7041947204481178,5.114396447045778
interleaved,dot_product,50,4,0.7086793007982518,4.876485620036536
interleaved,dot_product,50,5,0.6958252160872733,5.327898748345162
interleaved,dot_product,75,2,0.4821271497674104,5.173039249882674
interleaved,dot_product,75,3,0.5541134369926813,5.237919776833549
interleaved,dot_product,75,4,0.5728060749723146,5.12755147296391
interleaved,dot_product,75,5,0.6058548200403028,4.917000159450268
interleaved,dot_product,100,2,0.3327522544157225,5.567216781277592
interleaved,dot_product,100,3,0.4595206728059005,4.786776834369057
interleaved,dot_product,100,4,0.4653743263536476,5.546397629713043
interleaved,dot_product,100,5,0.47178462879986727,5.144371644897097
interleaved,l1_norm,10,2,0.8678984345781552,4.753224163106876
interleaved,l1_norm,10,3,0.8654326861963861,4.598588921045275
interleaved,l1_norm,10,4,0.8179858418946379,4.1019430082727135
interleaved,l1_norm,10,5,0.7859461508391443,4.216419927246706
interleaved,l1_norm,25,2,0.7225594084438883,4.880586458351968
interleaved,l1_norm,25,3,0.7575714765743221,4.532825482538151
interleaved,l1_norm,25,4,0.7717974917275486,4.4536259986724325
interleaved,l1_norm,25,5,0.7610778118113585,4.118815901074499
interleaved,l1_norm,50,2,0.5350236821519482,4.711414178287566
interleaved,l1_norm,50,3,0.5794749177887288,4.736393498711748
interleaved,l1_norm,50,4,0.5990822946058287,4.442778584688395
interleaved,l1_norm,50,5,0.6295770994948098,3.7799742522688127
interleaved,l1_norm,75,2,0.4253109903028303,5.3649481251190005
interleaved,l1_norm,75,3,0.48849731653710904,5.124377389388715
interleaved,l1_norm,75,4,0.5065832667497715,4.579326316371347
interleaved,l1_norm,75,5,0.5043756982870922,4.127852445604073
interleaved,l1_norm,100,2,0.30102828869764087,5.1747175503283165
interleaved,l1_norm,100,3,0.3846373872750707,4.972198613182416
interleaved,l1_norm,100,4,0.42994419558916547,5.03578119134095
interleaved,l1_norm,100,5,0.4131005079709385,4.464589616256942
interleaved,l2_norm,10,2,0.8638474842207168,4.053192987246948
