Grouping Function,Evaluation Function,Run,Starting Distance,Convergence Speed (rounds),Convergence Accuracy (final distance),Pearson Correlation,Incorrect Candidate Selection (%)
random,cosine_similarity,7,7.663579042550288,8.0,2.9464090317990457,0.8984117516745131,8.0
random,cosine_similarity,8,9.868913763039123,,7.0488651402838585,0.9290782469875469,12.0
random,cosine_similarity,9,11.417625520173294,22.0,3.796400740399438,0.8070240290409975,10.0
random,cosine_similarity,10,8.703321407356341,15.0,4.10718426939544,0.8363319446619089,7.000000000000001
random,cosine_similarity,11,8.765003860252135,7.0,2.7969182067987326,0.8009283376372746,10.0
random,cosine_similarity,12,11.062396602688903,17.0,4.33501011219946,0.8606608472120949,8.0
random,cosine_similarity,13,11.586859506481682,28.0,4.216956339998276,0.9474652024139493,6.0
random,cosine_similarity,14,11.73940331200224,28.0,3.9798303784752465,0.8592640997947727,10.0
random,cosine_similarity,15,10.424184112070428,14.0,2.9452724804871173,0.7292488544793977,12.0
random,cosine_similarity,16,8.614970374187138,9.0,2.871121095529837,0.8654619984668567,9.0
random,cosine_similarity,17,11.064903139876208,13.0,4.114626622391409,0.8000172845907393,9.0
random,cosine_similarity,18,8.479177495141826,28.0,4.178417910507164,0.8751369555484345,6.0
random,cosine_similarity,19,13.020343550713852,21.0,3.7483689563154425,0.7071726202392467,14.000000000000002
random,cosine_similarity,20,9.808815666833567,17.0,3.4144823161197695,0.9008905324653317,10.0
random,cosine_similarity,21,8.855342838922555,8.0,2.696314357297805,0.7754032201682707,7.000000000000001
random,cosine_similarity,22,9.475271999620997,24.0,5.374107905676717,0.9479657021542841,13.0
random,cosine_similarity,23,10.592043796738862,13.0,2.4874032615883426,0.808257683151879,7.000000000000001
random,cosine_similarity,24,9.194379554257587,,6.094012509128275,0.8773760289016224,9.0
random,cosine_similarity,25,10.204749537181929,11.0,3.533876340277665,0.8276793817573358,9.0
random,cosine_similarity,26,9.482898337820458,98.0,4.861987039947951,0.9552414991184203,9.0
random,cosine_similarity,27,11.620074469463951,41.0,3.8080815213990853,0.9045795787271712,10.0
random,cosine_similarity,28,9.351079064991346,13.0,3.461426883005973,0.8894489249490358,7.000000000000001
random,cosine_similarity,29,9.826561751812035,26.0,5.042524551203516,0.7762021363169798,15.0
random,cosine_similarity,30,10.708682250993656,10.0,2.207380097173189,0.6045152961205064,11.0
random,cosine_similarity,31,11.808025037535101,,5.490743505279243,0.8746173851642505,7.000000000000001
random,cosine_similarity,32,10.87096240143949,23.0,3.4193013460082575,0.9297276769378999,7.000000000000001
random,cosine_similarity,33,10.344227648355657,10.0,2.3688715082537355,0.7773544596827373,10.0
random,cosine_similarity,34,10.914171202293993,27.0,3.6544536504614915,0.7319999667277893,8.0
random,cosine_similarity,35,9.461883823873608,26.0,5.2812043524995635,0.9255142839305945,9.0
random,cosine_similarity,36,11.346418304863755,78.0,5.065433868327816,0.8520016079035969,10.0
